contract_address,0x02b5453d92b730f29a86a0d5ef6e930c4cf8860b,0x0642026e7f0b6ccac5925b4e7fa61384250e1701,0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0x18f00d0d352f14ef0b94bbddbf507b12705fb316,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x4a41775da459b38e641141e4c696df10ec1f4983,0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x4eb8b4c65d8430647586cf44af4bf23ded2bb794,0x4f14cdbd815b79e9624121f564f24685c6b1211b,0x514910771af9ca656af840dff83e8264ecf986ca,0x622236bb180256b6ae1a935dae08dc0356141632,0x6b175474e89094c44da98b954eedeac495271d0f,0x71ab77b7dbb4fa7e017bc15090b2163221420282,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,0x853d955acef822db058eb8505911ed77f175b99e,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,0x9ae357521153fb07be6f5792ce7a49752638fbb7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa8d7f5e7c78ed0fa097cc5ec66c1dc3104c9bbeb,0xb753428af26e81097e7fd17f40c88aaa3e04902c,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,0xdac17f958d2ee523a2206206994597c13d831ec7,0xea12642633b5cf03d9111efb13512d46502a7597
,USD Balance,H2O,Governance OHM,Synapse,Synapse Chain,agEUR,nUSD,Wrapped BTC,ChainPort,SushiSwap LP Token,Frax Price Index Share,Angry Doge,ChainLink Token,Mirror Write Token,Dai Stablecoin,Highstreet token,Stake DAO Token,Frax,New Order,Safe Token,USD Coin,Vesta,Spice,The Doge NFT,Wrapped Ether,Tribe,Tether USD,Synapse Chain
,USDB,H2O,gOHM,SYN,SNC,agEUR,nUSD,WBTC,PORTX,SLP,FPIS,ANFD,LINK,WRITE,DAI,HIGH,SDT,FRAX,NEWO,SAFE,USDC,VSTA,SFI,DOG,WETH,TRIBE,USDT,SYNCH
2021-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.81805245530960,0.0,0.0,0.0
2021-10,0.0,0.0,0.0,1100000,0.0,0.0,7.27595761418343E-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.0000000000000,0.0,0.0,0.0,0.0,1667.9083260000000,0.0,0.0,0.0,52.798227121101,0.0,0.0,0.0
2021-11,0.0,0.0,0.0,87719.066447989700000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.02742949544,1468.0000000000000,0.0,0.0,0.0,0.0,10496.516018,0.0,0.0,0.0,87.43725375373100,0.0,5420.657215000000,0.0
2021-12,0.0,0.0,0.0,37719.066447989700000000,0.0,0.0,418432.0688825430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.02742949544,1468.0000000000000,0.0,-1.45519152283669E-11,0.0,0.0,10496.516018,0.0,0.0,0.0,103.77597675197500,240218.22560322700,5420.657215000000,0.0
2022-01,0.0,0.0,7.232406613237790,37719.066447989700000000,0.0,0.0,157375.20775832400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.02742949544,2798.906000000000,0.0,-1.45519152283669E-11,0.0,0.0,0.0,0.0,0.0,675000.0000000000,243.79534774803200,644166.1498137530,-9.09494701772928E-13,0.0
2022-02,0.0,0.0,11.53001756969290,78175.791188297100000000,0.0,0.0,-5.82076609134674E-11,0.0,0.0,0.0,342189.36662656000,0.0,0.0,0.0,546309.6423625190,2855.398699665830,0.0,12704.21726751050,0.0,0.0,0.0,0.0,0.0,835000.0000000000,493.0512427181730,991192.769561718,-9.09494701772928E-13,0.0
2022-03,0.0,0.0,14.856618943057600,88321.136136089300000000,0.0,0.0,75247.36910638510,0.0,0.0,0.0,342189.36662656000,0.0,0.0,0.0,1.16415321826935E-10,2915.398699665830,0.0,1699.9999999999900,0.0,0.0,326885.4759350000,0.0,0.0,880000.0000000000,585.1659828757680,0.0,-9.09494701772928E-13,0.0
